movie_id,average_sentiment,neg_sentiment,neu_sentiment,pos_sentiment,genres,revenue,runtime,cluster
235406,-0.9963,0.179,0.77,0.051,"Bollywood, Melodrama, Drama, Epic, World cinema",,162.0,0
7718873,-0.996,0.133,0.813,0.054,"Monster movie, Natural horror films, Science Fiction, Horror, Creature Film, B-movie",,90.0,3
142423,0.9238,0.072,0.821,0.107,"Biography, World cinema, Period piece, Drama, Comedy, Romantic drama, Romance Film",21848932.0,108.0,1
29551629,0.8225,0.028,0.851,0.121,Documentary,,96.0,2
5107196,-0.5842,0.171,0.665,0.163,"Horror, Slasher, Teen",,81.0,0
30476388,0.9468,0.064,0.776,0.16,"Comedy film, Drama",,90.0,1
30005855,0.3506,0.12,0.754,0.127,"Cult, Drama, Romance Film, Horror, Slasher",,,1
6747334,0.836,0.083,0.71,0.207,"Silent film, Drama, Indie",,,1
2209027,-0.9913,0.131,0.769,0.099,"Romance Film, Drama",,185.0,3
14746604,0.8834,0.054,0.823,0.124,"Short Film, Comedy, Black-and-white",,,1
8191245,-0.8934,0.147,0.807,0.047,"Thriller, Crime Thriller, Drama, Black-and-white, Crime Drama",,69.0,3
20914710,-0.0258,0.033,0.944,0.023,Chinese Movies,,,2
27369092,0.5959,0.054,0.861,0.085,"Action/Adventure, Romantic drama, Western",,97.0,2
24268011,0.9992,0.077,0.748,0.175,"Romance Film, Drama",,145.0,1
4154028,-0.9997,0.158,0.795,0.046,"Thriller, Horror, Supernatural, Anthology, Psychological thriller, Cult, Drama, Film adaptation",349618.0,117.0,3
770277,-0.9979,0.129,0.807,0.064,"World cinema, Epic, Drama, War film, Romantic drama, Romance Film",,156.0,3
18133264,0.0,0.097,0.813,0.09,Drama,,,3
25588342,-0.6486,0.116,0.791,0.093,"Crime Comedy, Comedy",,106.0,3
22479768,-0.886,0.094,0.849,0.057,"Blaxploitation, Spaghetti Western, Western",,103.0,3
6002183,-0.9014,0.087,0.84,0.073,"Computer Animation, Family Film, Animation, Adventure, Comedy",297138014.0,88.0,3
6540216,-0.0772,0.113,0.812,0.075,"Crime Fiction, Action, Drama",,104.0,3
31509403,-0.7717,0.207,0.764,0.029,"Musical, Family Film",,56.0,0
225473,0.9062,0.037,0.861,0.101,"Romantic drama, Romance Film, Drama",,117.0,2
32995532,-0.9118,0.154,0.792,0.054,Silent film,,,3
36566804,-0.8316,0.214,0.786,0.0,Drama,,104.0,0
24073089,-0.9944,0.148,0.77,0.082,"Black comedy, Domestic Comedy, Comedy, Slapstick",6132924.0,108.0,0
30405742,0.9178,0.043,0.804,0.153,"Science Fiction, World cinema, Documentary",,91.0,1
23991052,-0.998,0.233,0.668,0.099,"Crime Fiction, Television movie, Mystery, Drama, Film adaptation, Romantic drama, Romance Film",,100.0,0
6084851,-0.3761,0.123,0.77,0.107,Comedy,,88.0,3
2322506,0.9516,0.089,0.808,0.103,"Short Film, Science Fiction, Fantasy, World cinema, Animation",,1.25,1
13495023,0.2023,0.173,0.634,0.193,"Silent film, Indie, Black-and-white, Mystery, Western, Action, Spy",,50.0,1
1813912,-0.9966,0.18,0.778,0.042,"Action/Adventure, Western, Drama, Indian Western, Chase Movie",,98.0,0
23605990,0.0,0.0,1.0,0.0,"Crime Fiction, Mystery",,86.0,2
32558509,-0.9994,0.148,0.805,0.047,Thriller,15713724.0,111.0,3
35030619,-0.994,0.094,0.85,0.055,Drama,,62.0,3
9138693,-0.9371,0.204,0.768,0.028,Japanese Movies,,,0
19332675,-0.9851,0.118,0.813,0.069,"Film adaptation, Drama, Television movie",,96.0,3
19755481,-0.9983,0.127,0.818,0.054,"Thriller, Horror, Psychological thriller, New Hollywood, Suspense",17550741.0,107.0,3
27368886,-0.9824,0.165,0.748,0.087,"Thriller, Action/Adventure, Drama, Suspense, Political thriller, Crime Thriller, Action",,89.0,0
5925279,0.9631,0.108,0.745,0.147,"Silent film, Melodrama, Indie, Black-and-white, Short Film, Period piece, Drama",,150.0,1
26499399,-0.998,0.136,0.773,0.091,Action,,152.0,3
35764248,0.8885,0.023,0.844,0.133,Drama,,,2
26393786,-0.1154,0.14,0.721,0.139,Drama,,100.0,0
27997130,0.1779,0.0,0.904,0.096,Comedy film,,88.0,2
7429667,0.9916,0.055,0.867,0.078,"Romantic comedy, Comedy",,,2
30866673,-0.9977,0.152,0.787,0.061,"Thriller, Action, Drama",,129.0,3
34501845,0.8135,0.092,0.778,0.13,Comedy film,,,1
30622939,-0.9975,0.147,0.792,0.061,"Thriller, Parody, Mystery, Comedy, Indie",,93.0,3
1373219,-0.9889,0.127,0.805,0.069,"Horror, Haunted House Film",34409206.0,88.0,3
2311219,-0.9972,0.12,0.818,0.062,"Thriller, Docudrama, Sports, Period piece, Drama, Political thriller, Spy, Political drama, Airplanes and airports",130358911.0,164.0,3
26834911,-0.6369,0.092,0.876,0.032,"Action/Adventure, Thriller, Action Thrillers, Action, Indie",,86.0,3
20120996,0.9418,0.072,0.839,0.089,"Romance Film, Drama",,94.0,2
20533021,0.8126,0.047,0.767,0.187,"Short Film, Comedy film, Family Film, Animation",,,1
31083557,0.9805,0.087,0.806,0.108,"Romantic comedy, Romance Film, Comedy",,91.0,1
13448042,-0.9051,0.143,0.766,0.091,"Thriller, Horror, Psychological thriller, World cinema",,89.0,0
18563253,-0.5267,0.131,0.824,0.045,"Crime Fiction, Thriller, Black-and-white",,103.0,3
25858471,-0.9675,0.094,0.876,0.03,"Short Film, Comedy film, Family Film, Animation",,,3
9916623,0.743,0.04,0.707,0.253,"Action, Adventure, Black-and-white",,,1
20753929,-0.7391,0.1,0.846,0.054,"Drama, Early Black Cinema",,107.0,3
6777222,-0.6865,0.067,0.865,0.068,"Short Film, Musical, Children's, Animation",,30.0,3
26464187,-0.9274,0.163,0.783,0.054,"Crime Fiction, Comedy",,69.0,3
26182742,0.8442,0.115,0.72,0.165,"Drama, World cinema",,120.0,1
5733324,0.9806,0.1,0.753,0.148,"Indie, Comedy",29309766.0,100.0,1
8262659,-0.6956,0.091,0.834,0.075,"Parody, Family Film, Comedy, Black-and-white",,78.0,3
26003987,0.1406,0.118,0.732,0.15,,,95.0,1
6285350,-0.9477,0.182,0.807,0.012,Drama,,100.0,3
4995581,-0.5267,0.091,0.827,0.082,"Melodrama, Crime Drama, Family Drama, Mystery, Drama, Romance Film, Film noir",,111.0,3
20805584,0.8793,0.098,0.768,0.134,"Drama, Crime Drama",,86.0,1
2257358,-0.9011,0.137,0.758,0.106,"Costume drama, Period piece, Drama, Film adaptation, Romantic drama, Romance Film",,113.0,0
11074454,-0.8718,0.262,0.681,0.058,"Crime Fiction, Thriller, Drama, Psychological thriller",,93.0,0
12113134,0.1944,0.129,0.737,0.135,Comedy,,171.0,1
5239234,-0.9808,0.083,0.863,0.054,"Thriller, Crime Fiction, Action, Action/Adventure",,97.0,3
18066729,0.0772,0.06,0.889,0.051,Japanese Movies,,115.0,2
6593182,0.938,0.07,0.835,0.095,"Parody, Science Fiction, Adventure, Action/Adventure, Fantasy, Comedy, Monster, Action, Sci-Fi Adventure",69548641.0,102.0,2
3257958,-0.986,0.129,0.789,0.081,"Fantasy Comedy, Christmas movie, Family Film, Comedy, Holiday Film",110768122.0,92.0,3
4716139,0.7948,0.106,0.758,0.136,"Romantic drama, Romance Film, Drama, Tamil cinema, World cinema",,168.0,1
22480532,0.0765,0.071,0.861,0.068,"Family Film, Educational, Musical, Animation",,60.0,2
9294,-0.998,0.143,0.826,0.031,"Cult, B-movie, Horror, Haunted House Film, Indie",29400000.0,85.0,3
32803232,0.8779,0.087,0.722,0.191,"Drama, World cinema",,109.0,1
3389457,-0.8625,0.348,0.652,0.0,"Thriller, Crime Thriller, Mystery, Psychological thriller, Suspense",,105.0,0
8511975,0.4215,0.0,0.958,0.042,Horror,,82.0,2
24840023,-0.9918,0.161,0.782,0.057,"Thriller, Action/Adventure, Chinese Movies, World cinema, Crime Thriller",,100.0,3
1330432,0.7899,0.073,0.838,0.088,"Romantic comedy, Romance Film, Sex comedy, Comedy, Indie",26000000.0,95.0,2
518117,-0.9072,0.123,0.762,0.116,"Romance Film, Drama, Musical, Bollywood, War film",,185.0,0
19389615,-0.5274,0.089,0.853,0.057,"Short Film, Family-Oriented Adventure, Comedy, Black-and-white, Children's/Family",,20.0,3
14359457,-0.959,0.204,0.692,0.104,"Crime Fiction, Drama, Comedy, World cinema",,95.0,0
6270685,-0.9521,0.151,0.8,0.049,"Romantic comedy, Indie, Drama, Comedy, Romantic drama, Romance Film",,90.0,3
11250635,0.9463,0.075,0.834,0.091,"Science Fiction, Adventure, Animation, Short Film, Fantasy, Family Film, Action",,,2
6752415,-0.9493,0.104,0.834,0.062,"Horror, Filipino Movies",,,3
6369452,0.7357,0.057,0.848,0.096,"Romantic comedy, Romance Film, Sex comedy, Comedy",16574176.0,106.0,2
5283066,-0.9991,0.191,0.784,0.024,"Thriller, Crime Fiction, Horror, Psychological thriller, Drama, Suspense, Crime Thriller, Gangster Film",,103.0,0
13259610,0.8225,0.065,0.802,0.133,"Action/Adventure, Japanese Movies, Drama, Art film, World cinema",,122.0,1
4199982,-0.5434,0.143,0.743,0.114,"Romantic comedy, Drama, Romance Film, Comedy-drama",,105.0,0
